,Open:,High:,Beta:,Shares Out:,Total Shares (All Classes):,Prev. Close:,Low:,VWAP:,Market Cap:,Market Cap (All Classes)*:,Dividend:,Div. Frequency:,P/E Ratio:,EPS:,Yield:,Ex-Div Date:,P/B Ratio:,Exchange:
 AAV,0.04,0.04,1.072,"96,052,282","96,052,282",0.04,0.04,0.04,"3,842,091","3,842,091",N/A,N/A,N/A,-0.180000,N/A,N/A,0.154,					TSX
 ABT,1.60,1.71,1.674,"186,910,848","186,200,000",1.60,1.59,1.629950,"304,664,682","303,506,000",N/A,N/A,127.400,0.010000,N/A,N/A,0.227,					TSX
 ABX,7.98,8.06,0.924,"41,638,849","41,478,504",7.99,7.96,7.987194,"331,445,238","330,168,892",0.080 CAD,Quarterly,30.200,0.270000,4.020,05/07/2019,-4.944,					TSX
 AC,21.23,21.64,0.485,"1,751,981,799","1,751,981,799",21.09,21.02,21.405295,"37,895,366,312","37,895,366,312",0.040 USD,Quarterly,N/A,-1.880000,0.996,05/30/2019,1.861,					TSX
 ACB,40.75,42.32,0.767,"266,729,135","270,729,911",40.76,40.75,41.757854,"11,138,608,678","11,305,681,083",N/A,N/A,10.500,3.970000,N/A,N/A,3.437,					TSX
 ACB.WT,9.64,9.69,1.547,"1,014,099,913","1,012,591,253",9.61,9.57,9.624330,"9,775,923,161","9,761,379,679",N/A,N/A,N/A,-0.110000,N/A,N/A,2.226,					TSX
 ACD,6.09,6.09,3.760,"25,000,000",N/A,5.71,5.67,5.699231,"143,500,000","143,500,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,					TSX
 ACD.DB,9.30,9.43,0.802,"8,445,783","8,428,542",9.26,9.26,9.301765,"78,376,866","78,216,870",0.090 CAD,Quarterly,7.700,1.270000,3.879,05/16/2019,0.871,					TSX
 ACI,102.50,102.50,-0.008,"194,900",N/A,102.50,102.50,102.50,"19,977,250","19,977,250",N/A,N/A,N/A,N/A,N/A,N/A,N/A,					TSX
 ACO.X,25.26,25.47,-0.731,"30,000,000","30,000,000",25.25,24.99,25.298710,"763,200,000","763,200,000",0.238 CAD,Quarterly,11.100,2.280000,3.734,05/30/2019,1.230,					TSX
 ACO.Y,44.51,44.85,0.630,"101,456,831","114,668,378",44.51,44.37,44.638605,"4,540,193,187","5,131,409,916",0.405 CAD,Quarterly,N/A,N/A,3.618,06/05/2019,1.360,					TSX
 ACQ,44.45,44.75,0.635,"13,218,247","114,668,378",44.45,44.45,44.60,"589,533,816","5,114,209,659",0.405 CAD,Quarterly,14.500,3.070000,3.630,06/05/2019,1.359,					TSX
 ACR.UN,10.81,10.82,2.424,"27,459,683","27,459,683",10.81,10.57,10.653554,"291,072,640","291,072,640",0.100 CAD,Quarterly,N/A,-3.180000,3.774,05/30/2019,0.379,					TSX
 ACZ.UN,,,,,,,,,,,,,,,,,,
 AD,,,,,,,,,,,,,,,,,,
 ADN,19.54,19.71,0.782,"36,614,247","36,496,247",19.55,19.54,19.614340,"715,808,529","713,501,629",0.138 CAD,Monthly,9.500,2.070000,8.440,06/27/2019,1.142,					TSX
 ADVZ,16.97,16.97,0.559,"16,686,916","16,686,916",16.84,16.59,16.696942,"278,004,021","278,004,021",0.290 CAD,Quarterly,9.200,1.820000,6.963,06/27/2019,0.963,					TSX
 ADVZ.U,20.73,21.10,-1.043,"48,913,490","48,913,490",21.07,19.42,20.105682,"951,367,381","951,367,381",N/A,N/A,N/A,"-1,544.17004",N/A,N/A,3.543,					TSX
 ADW.A,N/A,N/A,0.409,"48,913,490","48,913,490",16.79,N/A,N/A,"821,257,497","821,257,497",N/A,N/A,N/A,N/A,N/A,N/A,4.010,					TSX
AAB,13.97,14.10,0.335,"35,988,148","44,187,142",14.11,13.97,14.003714,"505,633,479","620,829,345",0.054 CAD,Quarterly,27.300,0.520000,1.532,06/27/2019,2.646,					TSX
